policy_id,family,horizon_hours,lookback_hours,threshold,maximum_spread,exit_hours,risk_fraction,scenario,training_cash,training_pnl,total_fees,closed_trades,release_days,maximum_cost_drawdown,mean_daily_log_growth,simultaneous_lower_daily_log_growth,selection_rejections
8badad8d1cfd3c35,momentum,24,1,0.03,0.08,,0.05,costed,195.05,-4.95,10.98,57,38,0.23138148948084153,-0.00010105415562649792,-0.004520467027734833,nonpositive_simultaneous_lower_bound;insufficient_release_days;nonpositive_stress_profit
8badad8d1cfd3c35,momentum,24,1,0.03,0.08,,0.005,stress,160.6,-39.4,4.99,198,113,0.2050685541751225,-0.0008846796977232895,-0.0017497846477313997,
8badad8d1cfd3c35,momentum,24,1,0.03,0.08,,0.01,stress,164.7,-35.3,6.42,137,72,0.20553398058252428,-0.0007830311667921017,-0.001990378500485686,
8badad8d1cfd3c35,momentum,24,1,0.03,0.08,,0.025,stress,168.13,-31.87,6.44,59,35,0.2172405715624268,-0.0006999188582951604,-0.0029040184983857823,
8badad8d1cfd3c35,momentum,24,1,0.03,0.08,,0.05,stress,149.98,-50.02,6.2,43,30,0.2501,-0.001160546026914491,-0.004682457803397055,
f785fde9292986c5,momentum,18,1,0.03,0.03,1,0.005,costed,175.13,-24.87,7.63,157,121,0.12435,-0.0005354387550946098,-0.0008176274176360362,nonpositive_simultaneous_lower_bound;nonpositive_stress_profit
f785fde9292986c5,momentum,18,1,0.03,0.03,1,0.01,costed,159.95,-40.05,12.11,136,109,0.20025,-0.0009010326619052817,-0.0014596143942656003,nonpositive_simultaneous_lower_bound;nonpositive_stress_profit
f785fde9292986c5,momentum,18,1,0.03,0.03,1,0.025,costed,159.91,-40.09,11.97,56,46,0.20045,-0.0009020411676479255,-0.001989005763260361,nonpositive_simultaneous_lower_bound;insufficient_release_days;nonpositive_stress_profit
f785fde9292986c5,momentum,18,1,0.03,0.03,1,0.05,costed,159.31,-40.69,10.86,26,23,0.20345,-0.0009171991006581985,-0.0023487509816194556,nonpositive_simultaneous_lower_bound;insufficient_release_days;nonpositive_stress_profit
f785fde9292986c5,momentum,18,1,0.03,0.03,1,0.005,stress,175.42,-24.58,5.74,125,101,0.1229,-0.000528767209777425,-0.0008351263739573905,
f785fde9292986c5,momentum,18,1,0.03,0.03,1,0.01,stress,159.3,-40.7,8.94,109,91,0.2035,-0.0009174522162582003,-0.0015015327154165657,
f785fde9292986c5,momentum,18,1,0.03,0.03,1,0.025,stress,159.07,-40.93,8.21,44,37,0.20465,-0.0009232782646684168,-0.001967673291328415,
f785fde9292986c5,momentum,18,1,0.03,0.03,1,0.05,stress,158.28,-41.72,6.79,17,16,0.2086,-0.0009433538307694067,-0.0022860578742345708,
22d68799cdd18612,momentum,18,1,0.03,0.03,3,0.005,costed,173.26,-26.74,7.23,158,121,0.1337,-0.0005787258471211395,-0.0010360620050207455,nonpositive_simultaneous_lower_bound;nonpositive_stress_profit
22d68799cdd18612,momentum,18,1,0.03,0.03,3,0.01,costed,159.27,-40.73,11.57,136,108,0.20365,-0.0009182116584046259,-0.0016938488097720517,nonpositive_simultaneous_lower_bound;nonpositive_stress_profit
22d68799cdd18612,momentum,18,1,0.03,0.03,3,0.025,costed,159.68,-40.32,12.06,60,47,0.2016,-0.0009078449757454965,-0.002448120154088772,nonpositive_simultaneous_lower_bound;insufficient_release_days;nonpositive_stress_profit
22d68799cdd18612,momentum,18,1,0.03,0.03,3,0.05,costed,159.03,-40.97,8.06,22,21,0.20485,-0.0009242923503234375,-0.00258040750338309,nonpositive_simultaneous_lower_bound;insufficient_release_days;nonpositive_stress_profit
22d68799cdd18612,momentum,18,1,0.03,0.03,3,0.005,stress,177.17,-22.83,5.43,129,99,0.11415,-0.0004887404957084294,-0.0009228505523073181,
22d68799cdd18612,momentum,18,1,0.03,0.03,3,0.01,stress,159.59,-40.41,9.08,119,93,0.20205,-0.000910118307003797,-0.0017959498196656702,
22d68799cdd18612,momentum,18,1,0.03,0.03,3,0.025,stress,158.63,-41.37,10.61,60,48,0.20685,-0.0009344472585793266,-0.002699297707088383,
22d68799cdd18612,momentum,18,1,0.03,0.03,3,0.05,stress,156.39,-43.61,6.89,19,16,0.2186,-0.0009917922544351305,-0.0029112154892499517,
aa1d58c826c17957,momentum,18,1,0.03,0.03,,0.005,costed,179.64,-20.36,4.21,164,129,0.11753125307609016,-0.0004329133803568546,-0.0012130373676804043,nonpositive_simultaneous_lower_bound;nonpositive_stress_profit
aa1d58c826c17957,momentum,18,1,0.03,0.03,,0.01,costed,166.33,-33.67,7.69,154,121,0.20361881785283473,-0.0007433209667161031,-0.002436007744194909,nonpositive_simultaneous_lower_bound;nonpositive_stress_profit
aa1d58c826c17957,momentum,18,1,0.03,0.03,,0.025,costed,172.36,-27.64,4.27,36,30,0.20750379327785184,-0.0005997260233887065,-0.0026613232611533834,nonpositive_simultaneous_lower_bound;insufficient_release_days;nonpositive_stress_profit
aa1d58c826c17957,momentum,18,1,0.03,0.03,,0.05,costed,188.79,-11.21,5.79,24,22,0.2116272176821781,-0.00023258903363340607,-0.003299509337313146,nonpositive_simultaneous_lower_bound;insufficient_release_days;nonpositive_stress_profit
aa1d58c826c17957,momentum,18,1,0.03,0.03,,0.005,stress,188.37,-11.63,3.43,137,110,0.08215173220289432,-0.00024156956755608234,-0.0008319144139799369,
aa1d58c826c17957,momentum,18,1,0.03,0.03,,0.01,stress,173.75,-26.25,6.82,137,110,0.17837045443798175,-0.0005673382342868325,-0.0019213441878551253,
aa1d58c826c17957,momentum,18,1,0.03,0.03,,0.025,stress,186.71,-13.29,10.7,86,73,0.21129556879145017,-0.0002772611111725493,-0.003082112723249954,
aa1d58c826c17957,momentum,18,1,0.03,0.03,,0.05,stress,196.31,-3.69,6.67,27,23,0.23588026935502704,-7.50900166455438e-05,-0.0035165546757717075,
c21a44b9a12e50e3,momentum,18,1,0.03,0.08,1,0.005,costed,169.71,-30.29,9.88,211,146,0.15145,-0.0006622026956647682,-0.0010147394695688037,nonpositive_simultaneous_lower_bound;nonpositive_stress_profit
c21a44b9a12e50e3,momentum,18,1,0.03,0.08,1,0.01,costed,159.82,-40.18,11.83,142,108,0.2009,-0.0009043112282327406,-0.0015434462932480543,nonpositive_simultaneous_lower_bound;nonpositive_stress_profit
c21a44b9a12e50e3,momentum,18,1,0.03,0.08,1,0.025,costed,159.05,-40.95,11.1,55,43,0.20475,-0.0009237852756164654,-0.002017973582651335,nonpositive_simultaneous_lower_bound;insufficient_release_days;nonpositive_stress_profit
c21a44b9a12e50e3,momentum,18,1,0.03,0.08,1,0.05,costed,159.35,-40.65,9.16,24,24,0.20325,-0.0009161867971156902,-0.0023714045320516936,nonpositive_simultaneous_lower_bound;insufficient_release_days;nonpositive_stress_profit
c21a44b9a12e50e3,momentum,18,1,0.03,0.08,1,0.005,stress,170.06,-29.94,7.41,168,127,0.1497,-0.0006538953652838325,-0.0010168697005032037,
c21a44b9a12e50e3,momentum,18,1,0.03,0.08,1,0.01,stress,160.06,-39.94,8.09,106,88,0.2,-0.0008982605710045847,-0.0016163414242787474,
c21a44b9a12e50e3,momentum,18,1,0.03,0.08,1,0.025,stress,159.66,-40.34,8.0,45,39,0.2017,-0.0009083500497192901,-0.0019683892244858068,
c21a44b9a12e50e3,momentum,18,1,0.03,0.08,1,0.05,stress,159.12,-40.88,6.27,19,19,0.2044,-0.0009220110161383868,-0.0023500681637459685,
06a5f8f7bf93f43d,momentum,18,1,0.03,0.08,3,0.005,costed,167.62,-32.38,9.39,211,146,0.1619,-0.000712168765634182,-0.0011810394316520624,nonpositive_simultaneous_lower_bound;nonpositive_stress_profit
06a5f8f7bf93f43d,momentum,18,1,0.03,0.08,3,0.01,costed,159.44,-40.56,11.08,141,104,0.2028,-0.0009139100429173282,-0.0017681123601403794,nonpositive_simultaneous_lower_bound;nonpositive_stress_profit
06a5f8f7bf93f43d,momentum,18,1,0.03,0.08,3,0.025,costed,157.0,-43.0,7.12,39,33,0.215,-0.0009760950048376152,-0.0023895581903639763,nonpositive_simultaneous_lower_bound;insufficient_release_days;nonpositive_stress_profit
06a5f8f7bf93f43d,momentum,18,1,0.03,0.08,3,0.05,costed,159.77,-40.23,7.26,22,22,0.20115,-0.0009055729254377282,-0.0024980763652061675,nonpositive_simultaneous_lower_bound;insufficient_release_days;nonpositive_stress_profit
06a5f8f7bf93f43d,momentum,18,1,0.03,0.08,3,0.005,stress,174.01,-25.99,7.04,172,128,0.13198982391380257,-0.0005613088617764111,-0.0011052284828867763,
06a5f8f7bf93f43d,momentum,18,1,0.03,0.08,3,0.01,stress,160.67,-39.33,9.53,130,105,0.20056722061896706,-0.0008829225584386817,-0.001930313624485262,
06a5f8f7bf93f43d,momentum,18,1,0.03,0.08,3,0.025,stress,158.52,-41.48,13.78,79,65,0.21872843765401676,-0.0009372443476846882,-0.0029438916018990754,
06a5f8f7bf93f43d,momentum,18,1,0.03,0.08,3,0.05,stress,164.21,-35.79,11.48,34,29,0.20374684527276257,-0.0007950454437269786,-0.0030219986338377424,
2f304aed11e0515a,momentum,18,1,0.03,0.08,,0.005,costed,173.98,-26.02,5.45,220,152,0.14344909234411996,-0.0005620040986638813,-0.0014350621250087126,nonpositive_simultaneous_lower_bound;nonpositive_stress_profit
2f304aed11e0515a,momentum,18,1,0.03,0.08,,0.01,costed,163.17,-36.83,9.25,200,142,0.21170104835982415,-0.0008206643727623262,-0.0024310501166697673,nonpositive_simultaneous_lower_bound;nonpositive_stress_profit
2f304aed11e0515a,momentum,18,1,0.03,0.08,,0.025,costed,169.03,-30.97,7.16,60,48,0.21922357343311505,-0.0006783917442981873,-0.002918703459668099,nonpositive_simultaneous_lower_bound;insufficient_release_days;nonpositive_stress_profit
2f304aed11e0515a,momentum,18,1,0.03,0.08,,0.05,costed,171.85,-28.15,8.43,36,31,0.24893270542669776,-0.000611674851823361,-0.004263385811356973,nonpositive_simultaneous_lower_bound;insufficient_release_days
2f304aed11e0515a,momentum,18,1,0.03,0.08,,0.005,stress,184.89,-15.11,4.3,179,137,0.10251929517984563,-0.00031675932623296605,-0.0010162648058262304,
2f304aed11e0515a,momentum,18,1,0.03,0.08,,0.01,stress,174.44,-25.56,7.71,160,128,0.20191027230564357,-0.0005513569498930267,-0.0021218599427784155,
2f304aed11e0515a,momentum,18,1,0.03,0.08,,0.025,stress,190.73,-9.27,11.87,97,81,0.22325391977194053,-0.00019136512564395795,-0.0034386211678517887,
2f304aed11e0515a,momentum,18,1,0.03,0.08,,0.05,stress,216.06,16.06,10.01,45,39,0.20220700152207002,0.0003114466949225898,-0.0038956341891926843,
16673ca4bee05298,momentum,12,1,0.03,0.03,1,0.005,costed,176.72,-23.28,3.71,102,82,0.1164,-0.0004989951912748985,-0.0007958112633969794,nonpositive_simultaneous_lower_bound;nonpositive_stress_profit
16673ca4bee05298,momentum,12,1,0.03,0.03,1,0.01,costed,159.82,-40.18,6.87,106,83,0.2009,-0.0009043112282327415,-0.0014940384562367767,nonpositive_simultaneous_lower_bound;nonpositive_stress_profit
16673ca4bee05298,momentum,12,1,0.03,0.03,1,0.025,costed,159.91,-40.09,5.69,36,27,0.20045,-0.000902041167647928,-0.0023836727755595175,nonpositive_simultaneous_lower_bound;insufficient_release_days;nonpositive_stress_profit
16673ca4bee05298,momentum,12,1,0.03,0.03,1,0.05,costed,158.52,-41.48,5.32,17,15,0.2074,-0.0009372443476846863,-0.0026748781513644066,nonpositive_simultaneous_lower_bound;insufficient_release_days;nonpositive_stress_profit
16673ca4bee05298,momentum,12,1,0.03,0.03,1,0.005,stress,181.26,-18.74,3.17,89,77,0.0937,-0.0003967133141991991,-0.0007523900462258341,
16673ca4bee05298,momentum,12,1,0.03,0.03,1,0.01,stress,161.18,-38.82,6.07,96,82,0.1941,-0.0008701436034341561,-0.0016616273077003606,
16673ca4bee05298,momentum,12,1,0.03,0.03,1,0.025,stress,159.54,-40.46,8.73,52,43,0.2023,-0.0009113818228429571,-0.0024434836944006648,
16673ca4bee05298,momentum,12,1,0.03,0.03,1,0.05,stress,159.43,-40.57,7.07,21,18,0.20285,-0.0009141629521321077,-0.0029975013232989936,
